Grouped by Country: 
"Poland: ","4,044,000,000"
"Italy: ","3,376,000,000"
"Spain: ","2,480,000,000"
"Hungary: ","1,316,000,000"
"France: ","1,292,000,000"
"Czech Republic: ","1,284,000,000"
"Greece: ","1,222,000,000"
"Slovakia: ","1,069,000,000"
"Romania: ","1,022,000,000"
"Portugal: ","753,000,000"
"Germany: ","595,000,000"
"Croatia: ","578,000,000"
"United Kingdom: ","454,000,000"
"Bulgaria: ","371,000,000"
"Lithuania: ","351,000,000"
"Sweden: ","277,000,000"
"Estonia: ","223,000,000"
"Latvia: ","175,000,000"
"Slovenia: ","122,000,000"
"Ireland: ","102,000,000"
"Cyprus: ","75,000,000"
"Belgium: ","68,000,000"
"Finland: ","57,000,000"
"Malta: ","46,000,000"
"Austria: ","34,000,000"
"Netherlands: ","8,000,000"
"Denmark: ","6,000,000"
"Luxembourg: ","1,500,000"

Grouped by Region: 
"Campania (IT) : ","676,000,000"
"Sicilia (IT) : ","642,000,000"
"Hrvatska (HR) : ","578,000,000"
"Andalucía (ES) : ","565,000,000"
"Mazowieckie (PL) : ","518,000,000"
"Slaskie (PL) : ","461,000,000"
"Malopolskie (PL) : ","438,000,000"
"Attiki (EL) : ","422,000,000"
"Puglia (IT) : ","399,000,000"
"Západné Slovensko (SK) : ","362,000,000"
"Lietuva (LT) : ","351,000,000"
"Východné Slovensko (SK) : ","319,000,000"
"Wielkopolskie (PL) : ","300,000,000"
"Calabria (IT) : ","277,000,000"
"Podkarpackie (PL) : ","272,000,000"
"Stredné Slovensko (SK) : ","266,000,000"
"Kujawsko-Pomorskie (PL) : ","265,000,000"
"Lubelskie (PL) : ","263,000,000"
"Norte (PT) : ","263,000,000"
"Comunidad Valenciana (ES) : ","257,000,000"
"Dolnoslaskie (PL) : ","252,000,000"
"Cataluña (ES) : ","252,000,000"
"Észak-Alföld (HU) : ","246,000,000"
"Warminsko-Mazurskie (PL) : ","245,000,000"
"Lodzkie (PL) : ","231,000,000"
"Galicia (ES) : ","230,000,000"
"Lazio (IT) : ","226,000,000"
"Eesti (EE) : ","223,000,000"
"Jihovýchod (CZ) : ","222,000,000"
"Dél-Alföld (HU) : ","211,000,000"
"Kentriki Makedonia (EL) : ","207,000,000"
"Severovýchod (CZ) : ","199,000,000"
"Észak-Magyarország (HU) : ","193,000,000"
"Pomorskie (PL) : ","192,000,000"
"Comunidad De Madrid (ES) : ","178,000,000"
"Közép-Magyarország (HU) : ","176,000,000"
"Közép-Dunántúl (HU) : ","176,000,000"
"Latvija (LV) : ","175,000,000"
"Stredni Cechy (CZ) : ","174,000,000"
"Centro (PT) : ","174,000,000"
"Sardegna (IT) : ","169,000,000"
"Nord-Est (RO) : ","167,000,000"
"Nyugat-Dunántúl (HU) : ","163,000,000"
"Moravskoslezsko (CZ) : ","161,000,000"
"Stredni Morava (CZ) : ","161,000,000"
"Jihozápad (CZ) : ","160,000,000"
"Lisboa (PT) : ","160,000,000"
"Sud - Muntenia (RO) : ","159,000,000"
"Sachsen (DE) : ","157,000,000"
"Castilla-La Mancha (ES) : ","153,000,000"
"Sachsen-Anhalt (DE) : ","152,000,000"
"Extremadura (ES) : ","152,000,000"
"Dél-Dunántúl (HU) : ","150,000,000"
"Podlaskie (PL) : ","149,000,000"
"Severozápad (CZ) : ","148,000,000"
"Veneto (IT) : ","147,000,000"
"Zachodniopomorskie (PL) : ","142,000,000"
"Lombardia (IT) : ","136,000,000"
"Nord-Vest (RO) : ","133,000,000"
"Sud-Est (RO) : ","129,000,000"
"Bratislavský Kraj (SK) : ","123,000,000"
"Slovenija (SI) : ","122,000,000"
"Centru (RO) : ","120,000,000"
"Martinique (FR) : ","118,000,000"
"Canarias (ES) : ","118,000,000"
"Bucuresti – Ilfov (RO) : ","116,000,000"
"Swietokrzyskie (PL) : ","116,000,000"
"Piemonte (IT) : ","111,000,000"
"Basilicata (IT) : ","110,000,000"
"Yugozapaden (BG) : ","109,000,000"
"Lubuskie (PL) : ","108,000,000"
"Sud-Vest Oltenia (RO) : ","105,000,000"
"Bretagne (FR) : ","102,000,000"
"Emilia-Romagna (IT) : ","101,000,000"
"Wales (UK) : ","100,000,000"
"Vest (RO) : ","93,000,000"
"Toscana (IT) : ","92,000,000"
"Opolskie (PL) : ","91,000,000"
"Ciudad Autónoma De Ceuta (ES) : ","90,000,000"
"Castilla Y León (ES) : ","84,000,000"
"Aragón (ES) : ","84,000,000"
"Aquitaine (FR) : ","83,000,000"
"Rhône-Alpes (FR) : ","81,000,000"
"Dytiki Ellada (EL) : ","79,000,000"
"Thessalia (EL) : ","77,000,000"
"Réunion (FR) : ","76,000,000"
"Provence-Alpes-Côte D'azur (FR) : ","76,000,000"
